,reviews_title,reviews_text,ratings,author,stay_date
0,"Great location, great hotel","My hotel of choice every time I go to New York is the Hotel Edison. It is steps away from Times Square, and the reason I go to New York is to gorge on theater performances. So Hubby and I can walk pretty much anywhere we want to go. I love the Art Deco (authentic, by the way) atmosphere, and the recent upgrades they've done in the rooms. Staff is very helpful and kind. We just love it.",5,SoCalTallGal,September 2019
1,Weekend getaway,"Excellent service, helpful staff.  Retro feel to the hotel yet modern rooms and amenities.  Hotel is close to the action of Times Square.  Very enjoyable stay. Will stay at the Edison again when I am in New York.",5,Kim B,September 2019
2,reliably clean and comfortable!,I have stayed here many times and have found it to be reliably clean and comfortable. The staff is great and makes every request possible. Check in and out are smooth. I find the onsite restaurants very good.  The rooms with a terrace are amazing!  A great value in a prime location near Times Square.,5,I4913PEpatrickl,September 2019
3,Girls trip,"Booked for  4 nights for double room in error by travel agents email in advance to request twin room had to wait till arrived for availability. Receptionist was rude said we would need to pay additional $20 per night we said no would take double bed, bad move room was tiny, dated and not suitable went back to reception got same person took twin room had to pay difference, this room not much better on 7th floor, small room 2 single beds, curtains dirty, hole in wall next to air conditioning machine, mismatched tiles in bathroom small cupboards to hang clothes. Dated furniture & wallpaper certainly not what you see when you look online.Only good point very close to Times Square. Would recommend booking other hotels in area.People smoking weed in rooms. Reported to reception following day.Disappointing stay, modern room photos are not all they seem.",2,Joyce F,September 2019
4,Danny OBrien made our trip spectacular at the  Edison.,"The time we spent at the Edison while visiting NYC from New  Zealand was amazing. What a beautiful city,  beautiful hotel and and amazing hotel staff. In particular Danny OBrien from Security. If not for Danny our trip would have been sadly ruined.  My daughter 3yrs old, was ill with high fever 102 temperature. We called the front desk for assistance and Danny OBrien from security was up within seconds. He was so amazing. As parents you are under total stress seeing your little girl in distress. Danny went into action as he was experienced later finding out trained as a detective.  He was so caring calming and relaxing  my wife and I down while keeping my daughter calm and  while immediately calling  911. He went into medic care holding my daughters hand and keeping her fever from raising any higher by keeping ice on her head. Medics arrived and took my and us in the ambulance to the hospital.   My daughter was treated wonderfully at the hospital and released the following morning. She was all better and cheerful, we couldn't of had a better time. What was even more special was when we all returned the following day we found  a teddy bear 🧸 coloring book, yo-yo, and big chocolate cookie inside room with business card Danny OBrien, Area Director of Security.  I travel all the time and never experience such loving caring treatment.",5,Sabrina55631,N/A
5,Just OK - Pluses & Minuses. ,"My girlfriends and I were on a charter bus trip from Ohio. We stayed 2 nights at Hotel Edison. First of all, the location in Times Square was great. Easy walking distance to many restaurants, shows & attractions. Since our tour company handled all the reservations & the checkin/checkout process, I had no interaction with the staff other than security staff, which were very friendly. You had to show your room key in order to get to the elevator to go to your room, so that made us feel safe & secure. We had breakfast both mornings in the restaurant and the food & wait staff was good. The downside was our room. Although the actual room was an adequate size, the bathroom was TINY!!  You could basically sit in the toilet, wash your feet in the bathtub and brush your teeth in the sink, all at the same time. I’ve been in RV’s that had bigger bathrooms! There is no way you could share the mirror with another in order to put on make-up or do your hair. There was mildew on the ceilings, the wallpaper was peeling and the furniture and baseboard/trim was old & beat up. Our room over looked the Barrymore Theatre. The windows were not very soundproof and we heard people at the theatre until 1:30 am. So bring your earplugs! I have no idea what the rate was for our room since we had an all inclusive package deal, but based on several booking sites, it was overpriced for the quality of the room.",3,AnnieG,October 2019
6,Room not so hot; Alex in security is awesome. :-),"After booking our room months in advance and entering the lovely lobby in the Hotel Edison, we were assigned a dingy, musty room on the twelfth floor. The wallpaper was peeling and mildewed; there was a strong odor of mold. The bathroom was stained.We requested a room change, which we were given. The second room was an improvement, but still not up to standard. The bathtub had nail polish stains, rust, and black stains all over it. It was also musty, albeit not as moldy-smelling as the first. Since we weren't going to spend a lot of time in the room, we didn't complain, but we would not recommend the Hotel Edison. Better off at a chain hotel where the rooms--even if not fancy--are consistent.HOWEVER . . . I left my tablet in my room. After jumping through a series of hoops, Alex Grullon (Security Manager) was extremely helpful and arranged to have it sent to me via FedEx. He and his security staff were professional, gracious, and patient after I tried about fifteen times to arrange the shipping and was about to lose my cool. His follow-up was prompt and pleasant.BOTTOM LINE: - Great lobby- Sub-par rooms- Fantastic security staff",2,Sugarfork,September 2019
7,Tired hotel but great location,This hotel is older and the rooms are nothing special.  The location is perfect if you want to be near time square and broadway.  The staff are not attentive and it takes many trips to the front desk to get service.  The phones in the room ring busy all day and night so have to walk down to the desk as you can’t reach them by phone.  Also their credit machines don’t always work and they don’t seem to recognize it is on there end hence making the guest feel inferior.  Once you get your room it is good.  The maids are great and the best part of the hotel staff.  This hotel is lucky where it is located,3,LuLu,September 2019
8,Ms,Our goal was to see NY in a week! The Edison Hotel is only a block from Times Square and we hung out there every day! Our standard room for two was clean and comfortable. The doorman helped us with transportation and the bellman answered many questions that we had. We were too busy to take advantage of the restaurant or the workout room but the location was so convenient to food and the subway that we didn’t need them. I already have recommended this hotel to my grandson.,5,Picadilly,September 2019
9,Times Square Gem,"Hotel Edison is right in the heart of Times Square. The location is great  to do all the things N.Y. has to offer. If your looking for a reasonable priced property this is the one. It’s a walking distance to Central Park,  5th Ave, many of the museums and Broadway theatre",4,yomojr,September 2019
